No.,Tarikh,Nama Pelajar,SV,WAJ,CKT,INU,NAM,NJ,MBM,SNR,MTA,MS,NR,NMB,ABN,LUAR
1,2025-01-15,Student PTPM-001,WAJ,0,1,0,0,0,0,0,0,0,0,0,0,
1,2025-01-15,Student PTPM-001,WAJ,0,0,1,0,0,0,0,0,0,0,0,0,
1,2025-01-15,Student PTPM-001,WAJ,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 01
2,2025-01-22,Student PTPM-002,CKT,1,0,0,0,0,0,0,0,0,0,0,0,
2,2025-01-22,Student PTPM-002,CKT,0,0,1,0,0,0,0,0,0,0,0,0,
2,2025-01-22,Student PTPM-002,CKT,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 02
3,2025-02-05,Student PTPM-003,INU,1,0,0,0,0,0,0,0,0,0,0,0,
3,2025-02-05,Student PTPM-003,INU,0,0,0,1,0,0,0,0,0,0,0,0,
3,2025-02-05,Student PTPM-003,INU,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 03
4,2025-02-19,Student PTPM-004,NAM,0,1,0,0,0,0,0,0,0,0,0,0,
4,2025-02-19,Student PTPM-004,NAM,0,0,0,0,1,0,0,0,0,0,0,0,
4,2025-02-19,Student PTPM-004,NAM,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 01
5,2025-03-05,Student PTPM-005,NJ,0,0,1,0,0,0,0,0,0,0,0,0,
5,2025-03-05,Student PTPM-005,NJ,0,0,0,0,0,1,0,0,0,0,0,0,
5,2025-03-05,Student PTPM-005,NJ,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 04
6,2025-03-19,Student PTPM-006,MBM,0,0,0,1,0,0,0,0,0,0,0,0,
6,2025-03-19,Student PTPM-006,MBM,0,0,0,0,0,0,1,0,0,0,0,0,
6,2025-03-19,Student PTPM-006,MBM,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 02
7,2025-04-02,Student PTPM-007,SNR,1,0,0,0,0,0,0,0,0,0,0,0,
7,2025-04-02,Student PTPM-007,SNR,0,0,0,0,0,0,0,1,0,0,0,0,
7,2025-04-02,Student PTPM-007,SNR,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 05
8,2025-04-16,Student PTPM-008,MTA,0,1,0,0,0,0,0,0,0,0,0,0,
8,2025-04-16,Student PTPM-008,MTA,0,0,0,0,0,0,0,0,1,0,0,0,
8,2025-04-16,Student PTPM-008,MTA,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 03
9,2025-05-07,Student PTPM-009,MS,0,0,1,0,0,0,0,0,0,0,0,0,
9,2025-05-07,Student PTPM-009,MS,0,0,0,0,0,0,0,0,0,1,0,0,
9,2025-05-07,Student PTPM-009,MS,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 01
10,2025-05-21,Student PTPM-010,NR,0,0,0,1,0,0,0,0,0,0,0,0,
10,2025-05-21,Student PTPM-010,NR,0,0,0,0,0,0,0,0,0,0,1,0,
10,2025-05-21,Student PTPM-010,NR,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 04
11,2025-06-04,Student PTPM-011,NMB,0,0,0,0,1,0,0,0,0,0,0,0,
11,2025-06-04,Student PTPM-011,NMB,0,0,0,0,0,0,0,0,0,0,0,1,
11,2025-06-04,Student PTPM-011,NMB,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 02
12,2025-06-18,Student PTPM-012,ABN,0,0,0,0,0,1,0,0,0,0,0,0,
12,2025-06-18,Student PTPM-012,ABN,0,0,0,0,0,0,1,0,0,0,0,0,
12,2025-06-18,Student PTPM-012,ABN,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 05
13,2025-07-09,Student PTPM-013,WAJ,0,1,0,0,0,0,0,0,0,0,0,0,
13,2025-07-09,Student PTPM-013,WAJ,0,0,0,0,1,0,0,0,0,0,0,0,
13,2025-07-09,Student PTPM-013,WAJ,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 03
14,2025-07-23,Student PTPM-014,CKT,0,0,1,0,0,0,0,0,0,0,0,0,
14,2025-07-23,Student PTPM-014,CKT,0,0,0,0,0,1,0,0,0,0,0,0,
14,2025-07-23,Student PTPM-014,CKT,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 01
15,2025-08-06,Student PTPM-015,INU,0,0,0,1,0,0,0,0,0,0,0,0,
15,2025-08-06,Student PTPM-015,INU,0,0,0,0,0,0,1,0,0,0,0,0,
15,2025-08-06,Student PTPM-015,INU,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 04
16,2025-08-20,Student PTPM-016,NAM,0,0,0,0,1,0,0,0,0,0,0,0,
16,2025-08-20,Student PTPM-016,NAM,0,0,0,0,0,0,0,1,0,0,0,0,
16,2025-08-20,Student PTPM-016,NAM,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 02
17,2025-09-03,Student PTPM-017,NJ,0,0,0,0,0,1,0,0,0,0,0,0,
17,2025-09-03,Student PTPM-017,NJ,0,0,0,0,0,0,0,0,1,0,0,0,
17,2025-09-03,Student PTPM-017,NJ,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 05
18,2025-09-17,Student PTPM-018,MBM,0,0,0,0,0,0,1,0,0,0,0,0,
18,2025-09-17,Student PTPM-018,MBM,0,0,0,0,0,0,0,0,0,1,0,0,
18,2025-09-17,Student PTPM-018,MBM,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 03
19,2025-10-01,Student PTPM-019,SNR,0,1,0,0,0,0,0,0,0,0,0,0,
19,2025-10-01,Student PTPM-019,SNR,0,0,0,0,0,0,0,0,0,0,1,0,
19,2025-10-01,Student PTPM-019,SNR,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 01
20,2025-10-15,Student PTPM-020,MTA,0,0,1,0,0,0,0,0,0,0,0,0,
20,2025-10-15,Student PTPM-020,MTA,0,0,0,0,0,0,0,0,0,0,0,1,
20,2025-10-15,Student PTPM-020,MTA,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 04
21,2025-11-05,Student PTPM-021,MS,1,0,0,0,0,0,0,0,0,0,0,0,
21,2025-11-05,Student PTPM-021,MS,0,0,0,1,0,0,0,0,0,0,0,0,
21,2025-11-05,Student PTPM-021,MS,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 02
22,2025-11-19,Student PTPM-022,NR,0,1,0,0,0,0,0,0,0,0,0,0,
22,2025-11-19,Student PTPM-022,NR,0,0,0,0,1,0,0,0,0,0,0,0,
22,2025-11-19,Student PTPM-022,NR,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 05
23,2025-12-03,Student PTPM-023,NMB,0,0,1,0,0,0,0,0,0,0,0,0,
23,2025-12-03,Student PTPM-023,NMB,0,0,0,0,0,1,0,0,0,0,0,0,
23,2025-12-03,Student PTPM-023,NMB,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 03
24,2025-12-17,Student PTPM-024,ABN,0,0,0,1,0,0,0,0,0,0,0,0,
24,2025-12-17,Student PTPM-024,ABN,0,0,0,0,0,0,1,0,0,0,0,0,
24,2025-12-17,Student PTPM-024,ABN,0,0,0,0,0,0,0,0,0,0,0,0,External Panel 01
